appid,title,developer,publisher,genres,languages,tags,release_date,price,old_userscore,is_free,detailed_description,about_the_game,short_description,pc_requirements,content_descriptors
730,Counter-Strike 2,Valve,Valve,"Action, Free to Play","Czech, Danish, Dutch, English, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnameselanguages with full audio support","Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",2012-08-21,,,true,"For over two decades, Counter-Strike has offered a...","For over two decades, Counter-Strike has offered a...","For over two decades, Counter-Strike has offered a...",Minimum:OS: Windows® 10Processor: 4 hardware CPU t...,Includes intense violence and blood.
570,Dota 2,Valve,Valve,"Action, Strategy, Free to Play","Bulgarian, Czech, Danish, Dutch, English, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnameselanguages with full audio support","Multi-player, Co-op, Steam Trading Cards, Steam Workshop, SteamVR Collectibles, In-App Purchases, Valve Anti-Cheat enabled",2013-07-09,,90,true,"The most-played game on Steam.Every day, millions ...","The most-played game on Steam.Every day, millions ...","Every day, millions of players worldwide enter bat...",Minimum:OS *: Windows 7 or newerProcessor: Dual co...,
578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.","Action, Adventure, Massively Multiplayer, Free to Play","English, Korean, Simplified Chinese, French, German, Spanish - Spain, Arabic, Japanese, Polish, Portuguese - Portugal, Russian, Turkish, Thai, Italian, Portuguese - Brazil, Traditional Chinese, Ukrainian","Multi-player, PvP, Online PvP, Stats, Remote Play on Phone, Remote Play on Tablet",2017-12-21,,,true,"LAND, LOOT, SURVIVE!Play PUBG: BATTLEGROUNDS for f...","LAND, LOOT, SURVIVE!Play PUBG: BATTLEGROUNDS for f...",Play PUBG: BATTLEGROUNDS for free. Land on strateg...,Minimum:Requires a 64-bit processor and operating ...,
1623730,Palworld,Pocketpair,Pocketpair,"Action, Adventure, Indie, RPG, Early Access","English, Simplified Chinese, Traditional Chinese, Japanese, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Korean","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2024-01-18,"$29.99 ",,false,"Q. What kind of game is this?A. In this game, you ...","Q. What kind of game is this?A. In this game, you ...","Fight, farm, build and work alongside mysterious c...",Minimum:Requires a 64-bit processor and operating ...,
1172470,Apex Legends™,Respawn Entertainment,Electronic Arts,"Action, Adventure, Free to Play","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Arabiclanguages with full audio support","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases",2020-11-04,,88,true,Play Apex Legends Today!About the GameConquer with...,"Conquer with character in Apex Legends, a free-to-...","Apex Legends is the award-winning, free-to-play He...",Minimum:Requires a 64-bit processor and operating ...,
899770,Last Epoch,Eleventh Hour Games,Eleventh Hour Games,"Action, Adventure, Indie, RPG","English, French, German, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Spainlanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, In-App Purchases, Partial Controller Support, Steam Cloud, Family Sharing",2024-02-21,"$34.99 ",76,false,Editions ComparisonJoin Our DiscordJoin the Last E...,"Last Epoch combines time travel, exciting dungeon ...","Uncover the Past, Reforge the Future. Ascend into ...",Minimum:Requires a 64-bit processor and operating ...,This Game may contain content not appropriate for ...
553850,HELLDIVERS™ 2,Arrowhead Game Studios,PlayStation PC LLC,Action,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Spanish - Latin America, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chineselanguages with full audio support","Multi-player, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Family Sharing",2024-02-08,"$39.99 ",,false,Digital Deluxe EditionEdition includes:‘DP-53 Savi...,The Galaxy’s Last Line of Offence.Enlist in the He...,The Galaxy’s Last Line of Offence. Enlist in the H...,Minimum:Requires a 64-bit processor and operating ...,HELLDIVERS™ 2 is a 3rd person squad-based shooter ...
1203220,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Global,"Action, Adventure, Massively Multiplayer","English, Simplified Chinese, Traditional Chinese, Japanese, Korean, French, German, Spanish - Spain, Russian, Turkish, Portuguese - Portugal, Vietnamese, Thailanguages with full audio support","Multi-player, PvP, Online PvP, In-App Purchases, Partial Controller Support",2021-08-11,,,true,FREE TO PLAY NOWVeteran RewardsAbout the GameDynam...,"Dynamic, fast-paced and ever shifting; battle your...",Dive into the legends of the Far East in NARAKA: B...,Minimum:OS *: Windows 7 64-bit or newerProcessor: ...,This Game may contain content not appropriate for ...
271590,Grand Theft Auto V,Rockstar North,Rockstar Games,"Action, Adventure","English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Japanese, Simplified Chinese, Spanish - Latin Americalanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",2015-04-13,,96,false,"When a young street hustler, a retired bank robber...","When a young street hustler, a retired bank robber...",Grand Theft Auto V for PC offers players the optio...,Minimum:Requires a 64-bit processor and operating ...,
1086940,Baldur's Gate 3,Larian Studios,Larian Studios,"Adventure, RPG, Strategy","English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Turkish, Portuguese - Brazil, Italian, Spanish - Latin America, Traditional Chinese, Ukrainian, Korean, Japaneselanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2023-08-03,"$59.99 ",96,false,Gather your party and return to the Forgotten Real...,Gather your party and return to the Forgotten Real...,"Baldur’s Gate 3 is a story-rich, party-based RPG s...",Minimum:Requires a 64-bit processor and operating ...,This Game may contain content not appropriate for ...
